step,t,phase,phaseIndex,yTop,compression,volume,volumeRatio,rhoMean,rhoRatio,Pkin,Pwall,PexcessWallKinetic,PprojectionWorkRaw,PprojectionWorkThermostatted,wallImpulseTopY,wallHitsTop,dVInterval,dVdtMean,projectionEnergyRaw,projectionEnergyThermostatted,kBTCell,stdN,lowKProxy,rmsDivParticleAfter,rmsMassFluxResidual,rmsMassFluxParticleAfter,meanVy,PkinSmooth,PwallSmooth,PexcessWallKineticSmooth,PprojectionWorkRawSmooth,PprojectionWorkThermostattedSmooth
3800,3.8,compression,1,0.9905,0.00950000000000006,1.981,0.9905,5169.1065118627,1.00959111559818,5441.67027851114,5378.23925338567,-63.4310251254719,-1506.82715159225,-1.33809314010857,1075.64785067713,436,-0.000500000000000167,-0.00500000000000167,-0.753413575796379,-0.00066904657005451,1.03077066963567,3.50006989027228,0.000177558435187627,0.0257046775058159,0.00750271017156834,0.60699887816561,-0.00250848280077647,5441.70504205483,4939.01814943098,-502.686892623843,-1544.40536967197,9.20285898268305
3900,3.9,compression,1,0.99025,0.00975000000000004,1.9805,0.99025,5170.41151224438,1.00984599848523,5443.02655368323,5152.88556922387,-290.140984459361,-1549.05643442805,18.4729391886893,1030.57711384477,464,-0.000499999999999945,-0.00499999999999945,-0.774528217213938,0.00923646959434365,1.03873579045862,3.52291908849885,0.000240338493110688,0.0344175201426107,0.0093806717639274,0.644529122233865,-0.00156206906944993,5443.07781094116,4931.47981118447,-511.597999756698,-1541.12416862254,9.21391758300581
4000,4,compression,1,0.99,0.01,1.98,0.99,5171.71717171717,1.01010101010101,5444.42069756099,5733.52864129521,289.107943734218,-1550.40009143489,2.56594435409891,1146.70572825904,517,-0.000499999999999945,-0.00499999999999945,-0.775200045717357,0.00128297217704931,1.0388271157733,3.56378830518154,0.00028413462193452,0.0245711894943979,0.00985414102532919,0.439463999852441,-0.0140896031278072,5444.45275660042,4950.73565533847,-493.717101261951,-1544.63060410164,9.07241275447389
4100,4.1,compression,1,0.98975,0.01025,1.9795,0.98975,5173.0234907805,1.01035615054307,5445.82298366741,4491.2647142828,-954.558269384615,-1550.04708000444,14.3335782056864,898.25294285656,394,-0.000499999999999945,-0.00499999999999945,-0.775023540002135,0.00716678910284241,1.03939026452812,3.54782808894794,0.000291618917279882,0.0202434668524944,0.0119985241325675,0.43436040064608,0.00312920635831609,5445.8287889485,4927.37767511666,-518.451113831841,-1546.97991149665,8.25375629067969
4200,4.2,compression,1,0.9895,0.0105,1.979,0.9895,5174.33046993431,1.01061141990904,5447.2636880422,5252.28601462274,-194.977673419458,-1620.35207942774,7.13902757296959,1050.45720292455,433,-0.000499999999999945,-0.00499999999999945,-0.810176039713781,0.0035695137864844,1.03568756036082,3.72960861626637,0.000178994544994725,0.0287601371325087,0.00536184302993744,0.354140860243164,0.0136218277885895,5447.20666901911,4922.16609375943,-525.040575259681,-1544.22681023101,9.22131811991837
4300,4.3,compression,1,0.98925,0.01075,1.9785,0.98925,5175.63810967905,1.01086681829669,5448.65182940107,4815.0828642723,-633.56896512877,-1526.07436452829,15.1795762905438,963.016572854461,415,-0.000500000000000167,-0.00500000000000167,-0.7630371822644,0.00758978814527445,1.04056058045424,3.77031353972941,0.000200714188430221,0.0465510703318285,0.0039252370202809,0.798059429171147,0.00905898354958714,5448.5892324165,4927.95159925222,-520.63763316428,-1541.13097123362,8.84173211993523
4400,4.4,compression,1,0.989,0.011,1.978,0.989,5176.94641051567,1.01112234580384,5449.96101353586,4688.2041323034,-761.756881232456,-1591.16180925541,3.03308712681527,937.640826460681,399,-0.000499999999999945,-0.00499999999999945,-0.795580904627618,0.00151654356340747,1.03321220058158,3.57694290532365,0.000330633712393666,0.0201597909919688,0.00391766270547292,0.483096589390028,0.00266993331223844,5449.9638141934,5002.55818376421,-447.405630429197,-1547.44964965987,8.80072752570663
4500,4.5,compression,1,0.98875,0.01125,1.9775,0.98875,5178.25537294564,1.01137800252845,5451.32339854438,4955.2954982851,-496.027900259274,-1494.7603596377,11.2825997422545,991.059099657021,473,-0.000499999999999945,-0.00499999999999945,-0.74738017981877,0.0056412998711266,1.04196286708311,3.60690791895387,0.000277761092530675,0.0129440476235719,0.00520159685045083,0.340367992635582,-0.00313519849382666,5451.34247219517,5009.43149903331,-441.910973161856,-1550.66470777033,8.90034073024627
4600,4.6,compression,1,0.9885,0.0115000000000001,1.977,0.9885,5179.56499747092,1.01163378856854,5452.62574090452,5469.55436861584,16.9286277113188,-1582.04870138473,2.02810846607958,1093.91087372317,472,-0.000500000000000167,-0.00500000000000167,-0.791024350692629,0.00101405423304013,1.03743862319651,3.29204699017474,0.000259695470472667,0.0239795414259514,0.00146795954871674,0.444715830791594,0.00143462351412176,5452.72225097414,5063.15428269696,-389.567968277182,-1550.55653023645,8.9629813823254
4700,4.7,compression,1,0.98825,0.01175,1.9765,0.98825,5180.87528459398,1.01188970402226,5454.10588283231,5901.76131240671,447.655429574407,-1531.9590961826,11.407458518648,1180.35226248134,510,-0.000499999999999945,-0.00499999999999945,-0.765979548091218,0.00570372925932339,1.03602733395306,3.60310802995666,0.000304337155603945,0.017249496668892,0.00507347319307264,0.523626418041647,-0.0080676365641327,5454.10014457102,5076.29438231005,-377.805762260973,-1554.88774725736,8.76394839529939
